id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun,jenis_produksi
105,32,JAWA BARAT,3274,KOTA CIREBON,121,TON,2016,daging babi
106,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2016,daging babi
107,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2016,daging babi
108,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2016,daging babi
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2017,daging babi
110,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,TON,2017,daging babi
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,6,TON,2017,daging babi
112,32,JAWA BARAT,3201,KABUPATEN BOGOR,314,TON,2017,daging babi
113,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2017,daging babi
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,TON,2017,daging babi
115,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2017,daging babi
116,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2017,daging babi
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2017,daging babi
118,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5,TON,2017,daging babi
119,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2017,daging babi
120,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2017,daging babi
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2017,daging babi
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2017,daging babi
123,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,TON,2017,daging babi
124,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,TON,2017,daging babi
125,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2017,daging babi
126,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,TON,2017,daging babi
127,32,JAWA BARAT,3273,KOTA BANDUNG,1014,TON,2017,daging babi
128,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2017,daging babi
129,32,JAWA BARAT,3275,KOTA BEKASI,2,TON,2017,daging babi
130,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2017,daging babi
131,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2017,daging babi
132,32,JAWA BARAT,3274,KOTA CIREBON,103,TON,2017,daging babi
133,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2017,daging babi
134,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2017,daging babi
135,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2017,daging babi
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2018,daging babi
137,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,TON,2018,daging babi
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,6,TON,2018,daging babi
139,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,TON,2018,daging babi
140,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2018,daging babi
141,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,TON,2018,daging babi
142,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2018,daging babi
143,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2018,daging babi
144,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2018,daging babi
145,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5,TON,2018,daging babi
146,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2018,daging babi
147,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2018,daging babi
148,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2018,daging babi
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2018,daging babi
150,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,TON,2018,daging babi
151,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,TON,2018,daging babi
152,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2018,daging babi
153,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,TON,2018,daging babi
154,32,JAWA BARAT,3273,KOTA BANDUNG,1013,TON,2018,daging babi
155,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2018,daging babi
156,32,JAWA BARAT,3275,KOTA BEKASI,2,TON,2018,daging babi
157,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2018,daging babi
158,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2018,daging babi
159,32,JAWA BARAT,3274,KOTA CIREBON,114,TON,2018,daging babi
160,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2018,daging babi
161,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2018,daging babi
162,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2018,daging babi
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,TON,2019,daging babi
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,TON,2019,daging babi
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,TON,2019,daging babi
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2019,daging babi
167,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2019,daging babi
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,TON,2019,daging babi
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2019,daging babi
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2019,daging babi
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2019,daging babi
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2019,daging babi
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2019,daging babi
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2019,daging babi
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,TON,2019,daging babi
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2019,daging babi
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5,TON,2019,daging babi
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,5,TON,2019,daging babi
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,TON,2019,daging babi
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2019,daging babi
181,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2019,daging babi
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2019,daging babi
183,32,JAWA BARAT,3273,KOTA BANDUNG,901,TON,2019,daging babi
184,32,JAWA BARAT,3274,KOTA CIREBON,110,TON,2019,daging babi
185,32,JAWA BARAT,3275,KOTA BEKASI,189,TON,2019,daging babi
186,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2019,daging babi
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2019,daging babi
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2019,daging babi
189,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2019,daging babi
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,TON,2020,daging babi
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,TON,2020,daging babi
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,TON,2020,daging babi
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2020,daging babi
194,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2020,daging babi
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,TON,2020,daging babi
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2020,daging babi
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2020,daging babi
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2020,daging babi
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2020,daging babi
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2020,daging babi
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2020,daging babi
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,TON,2020,daging babi
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2020,daging babi
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2020,daging babi
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,6,TON,2020,daging babi
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,TON,2020,daging babi
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2020,daging babi
208,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2020,daging babi
