id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_kubis,satuan,tahun,jenis_produksi
140,32,JAWA BARAT,3205,KABUPATEN GARUT,147174,TON,2018,kubis
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1520,TON,2018,kubis
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,597,TON,2018,kubis
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2614,TON,2018,kubis
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2018,kubis
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3517,TON,2018,kubis
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6381,TON,2018,kubis
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2018,kubis
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,552,TON,2018,kubis
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,30,TON,2018,kubis
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2018,kubis
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2018,kubis
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3380,TON,2018,kubis
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5,TON,2018,kubis
154,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2018,kubis
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2018,kubis
156,32,JAWA BARAT,3273,KOTA BANDUNG,1,TON,2018,kubis
157,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2018,kubis
158,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2018,kubis
159,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2018,kubis
160,32,JAWA BARAT,3277,KOTA CIMAHI,25,TON,2018,kubis
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2018,kubis
162,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2018,kubis
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,826,TON,2019,kubis
